"Latest: Time (s)","Latest: Temperature (°C)"
111,18.6263780032
111.5,18.6085612574
112,18.5937123152
112.5,18.5833171588
113,18.5669804179
113.5,18.5610393309
114,18.5417291229
114.5,18.5268733696
115,18.5031009945
115.5,18.4941853456
116,18.4837830587
116.5,18.4689213451
117,18.4495988194
117.5,18.4273003601
118,18.4154064262
118.5,18.3990506476
119,18.393102626
119.5,18.3767442833
120,18.3648461225
120.5,18.351459497
121,18.329145637
121.5,18.3127798953
122,18.3023643413
122.5,18.2815309148
123,18.2770662063
123.5,18.2651596204
124,18.2413434034
124.5,18.232411273
125,18.2130563553
125.5,18.2085894527
126,18.1892312111
126.5,18.1832742844
127,18.1639124981
127.5,18.1519962015
128,18.1326300181
128.5,18.1177310952
129,18.1117710725
129.5,18.0953796716
130,18.0879283848
130.5,18.067062616
131,18.0476843945
131.5,18.037248822
132,18.0193573994
132.5,18.0044460726
133,17.9954984859
133.5,17.9895330982
134,17.9731269193
134.5,17.9597021927
135,17.9432923691
135.5,17.9268805342
136,17.9119589349
136.5,17.901512822
137,17.9000204533
137.5,17.8821107232
138,17.8597201639
138.5,17.8477769852
139,17.8343396197
139.5,17.8179143154
140,17.8074607829
140.5,17.8044739068
141,17.7910321247
141.5,17.7775889662
142,17.7611565664
142.5,17.7387454199
143,17.7342627288
143.5,17.7178248751
144,17.711846959
144.5,17.6969009651
145,17.6804583828
145.5,17.664013712
146,17.6535478318
146.5,17.6415857862
147,17.6326135232
147.5,17.6176583608
148,17.6101801269
148.5,17.5967182072
149,17.5862468472
149.5,17.5653015549
150,17.5488421279
150.5,17.5428563544
151,17.5248973438
151.5,17.5204071945
152,17.5084326858
152.5,17.4889716948
153,17.4754969462
153.5,17.4665129812
154,17.4515382831
154.5,17.4380595309
155,17.4275750573
155.5,17.4230814432
156,17.4081015662
156.5,17.4006109556
157,17.3841300319
157.5,17.3676469316
158,17.3541591361
158.5,17.3496628792
159,17.3346741809
159.5,17.3271791528
160,17.3106884947
160.5,17.2896972038
161,17.282199449
161.5,17.2687023409
162,17.2552037523
162.5,17.2417036807
163,17.2357031721
163.5,17.2342029991
164,17.2176998829
164.5,17.2086972449
165,17.1891892526
165.5,17.1741809805
166,17.1606719529
166.5,17.1441588788
167,17.1396549231
167.5,17.1351507999
168,17.1201358458
168.5,17.1006136171
169,17.0916022924
169.5,17.0795861445
170,17.060057344
170.5,17.036017535
171,17.0224930218
171.5,17.00746399
172,16.9909298682
172.5,16.9743934508
173,16.9728900261
173.5,16.9593583477
174,16.9473288935
174.5,16.9383060016
175,16.9187540416
175.5,16.9007032055
176,16.8961900647
176.5,16.8826496044
177,16.8781357713
177.5,16.8691075851
178,16.8570689236
178.5,16.8510491295
179,16.8359982908
179.5,16.8269668583
180,16.8089018985
180.5,16.7968570376
181,16.7848109309
181.5,16.7742695642
182,16.7607149725
182.5,16.757702626
183,16.7531839595
183.5,16.7351075305
184,16.7170282759
184.5,16.7079875869
185,16.6989461889
185.5,16.6868898875
186,16.6838756147
186.5,16.6748323223
187,16.6642809145
187.5,16.6507133928
188,16.6416674857
188.5,16.6356364838
189,16.6175415688
189.5,16.6069848773
190,16.5919021931
190.5,16.5888854165
191,16.5798346067
191.5,16.5692744175
192,16.560222045
192.5,16.5451331513
193,16.5270238239
193.5,16.5179680721
194,16.5058926062
194.5,16.4923061606
195,16.4847574269
195.5,16.471168429
196,16.4696584389
196.5,16.4621081837
197,16.4500267182
197.5,16.4394543673
198,16.4243492758
198.5,16.4077313162
199,16.3971549619
199.5,16.3865776034
200,16.3759992394
200.5,16.3744879624
201,16.3608855438
201.5,16.3457697894
202,16.3291400769
202.5,16.3230922889
203,16.3109957196
203.5,16.3034346905
204,16.295873143
204.5,16.2807484907
205,16.2762106897
205.5,16.2641089709
206,16.2550318066
206.5,16.2414146516
207,16.2293090927
207.5,16.2141752598
208,16.2066075572
208.5,16.2020666838
209,16.1854151964
209.5,16.1823873798
210,16.1702752708
210.5,16.1505902144
211,16.1384745584
211.5,16.1339308382
212,16.1172688988
212.5,16.1112093752
213,16.108179486
213.5,16.0990893082
214,16.0884831327
214.5,16.080906654
215,16.0718141759
215.5,16.0627209293
216,16.0430162546
216.5,16.0369525498
217,16.0202755921
217.5,16.0126942977
218,16.0035960348
218.5,15.9929804152
219,15.9899471871
219.5,15.9793302093
220,15.9671952247
220.5,15.9489901522
221,15.9429211016
221.5,15.9262294222
222,15.9216766898
222.5,15.9064995011
223,15.895874173
223.5,15.8928381688
224,15.8882839986
224.5,15.8731020117
225,15.8655101982
225.5,15.8563992994
226,15.8396939348
226.5,15.8245049336
227,15.8214668695
227.5,15.8138713238
228,15.8017173046
228.5,15.7956397656
229,15.7819640106
229.5,15.7652467655
230,15.7515670251
230.5,15.7485268386
231,15.7348448999
231.5,15.7226816639
