"Latest: Time (s)","Latest: Temperature (°C)"
484,23.2879465956
484.5,23.2879465956
485,23.2952135346
485.5,23.2952135346
486,23.2995736387
486.5,23.3039336986
487,23.305387042
487.5,23.3068403806
488,23.3097470429
488.5,23.3126536857
489,23.3141069997
489.5,23.3155603088
490,23.3155603088
490.5,23.317013613
491,23.3155603088
491.5,23.317013613
492,23.3199202069
492.5,23.324280061
493,23.3213734965
493.5,23.3228267812
494,23.327186606
494.5,23.3315463871
495,23.3329996377
495.5,23.3359061244
496,23.3373593605
496.5,23.3388125917
497,23.3388125917
497.5,23.3388125917
498,23.3388125917
498.5,23.3402658181
499,23.3388125917
499.5,23.3402658181
500,23.3402658181
500.5,23.3417190396
501,23.3417190396
501.5,23.3460786752
502,23.3460786752
502.5,23.3504382674
503,23.353344638
503.5,23.3547978161
504,23.3562509894
504.5,23.3606104804
505,23.3591573216
505.5,23.3620636345
506,23.366423068
506.5,23.3678762028
507,23.3722355788
507.5,23.3765949118
508,23.3809542019
508.5,23.3809542019
509,23.3780480133
509.5,23.3838603715
510,23.3853134491
510.5,23.3853134491
511,23.3882195902
511.5,23.3882195902
512,23.3896726536
512.5,23.3925787662
513,23.3925787662
513.5,23.3969378996
514,23.3998439649
514.5,23.4042030275
515,23.4042030275
515.5,23.4056560389
516,23.4085620476
516.5,23.4085620476
517,23.4085620476
517.5,23.4085620476
518,23.4085620476
518.5,23.4085620476
519,23.4100150449
519.5,23.4114680375
520,23.4129210253
520.5,23.4143740085
521,23.4201858944
521.5,23.4216388542
522,23.4274506465
522.5,23.4289035829
523,23.4303565147
523.5,23.4347152819
524,23.4376211035
524.5,23.441979801
525,23.4492442042
525.5,23.4536027907
526,23.4550556436
526.5,23.4565084919
527,23.462319839
527.5,23.4681311126
528,23.4768478855
528.5,23.4797534399
529,23.485564494
529.5,23.4928282093
530,23.497186384
530.5,23.5000918112
531,23.5000918112
531.5,23.5000918112
532,23.5029972203
532.5,23.5059026113
533,23.5059026113
533.5,23.5189766481
534,23.5204292964
534.5,23.5233345796
535,23.5233345796
535.5,23.5262398448
536,23.5305977092
536.5,23.5305977092
537,23.5378607274
537.5,23.5378607274
538,23.5422184849
538.5,23.5480287662
539,23.5465762026
539.5,23.5509338803
540,23.5538389767
540.5,23.5552915183
541,23.5567440555
541.5,23.5581965883
542,23.5625541601
542.5,23.5611016406
543,23.5683641945
543.5,23.5669116925
544,23.5698166921
544.5,23.5698166921
545,23.5712691853
545.5,23.5698166921
546,23.5698166921
546.5,23.5698166921
547,23.5698166921
547.5,23.5727216742
548,23.5712691853
548.5,23.5727216742
549,23.5741741586
549.5,23.5698166921
550,23.5741741586
550.5,23.5741741586
551,23.5756266388
551.5,23.5770791145
552,23.5799840529
552.5,23.5756266388
553,23.5770791145
553.5,23.5799840529
554,23.5828889738
554.5,23.5814365155
555,23.5814365155
555.5,23.5799840529
556,23.5814365155
556.5,23.5843414277
557,23.5857938773
557.5,23.5857938773
558,23.5886987634
558.5,23.5872463225
559,23.5901512
559.5,23.5916036322
560,23.59305606
560.5,23.5916036322
561,23.5916036322
561.5,23.59305606
562,23.5945084836
562.5,23.5945084836
563,23.5945084836
563.5,23.5959609028
564,23.5959609028
564.5,23.5974133176
565,23.5974133176
565.5,23.5974133176
566,23.5988657282
566.5,23.5988657282
567,23.6032229339
567.5,23.6017705363
568,23.6061277161
568.5,23.6119372289
569,23.6104848571
569.5,23.6104848571
570,23.6133895963
570.5,23.6148419595
571,23.6162943183
571.5,23.6148419595
572,23.6148419595
572.5,23.6162943183
573,23.6162943183
573.5,23.6162943183
574,23.6162943183
574.5,23.6177466729
575,23.6177466729
575.5,23.6177466729
576,23.6206513692
576.5,23.6206513692
577,23.6235560483
577.5,23.6250083815
578,23.6221037109
578.5,23.6264607104
579,23.6293653554
579.5,23.6308176715
580,23.633722291
580.5,23.633722291
581,23.6351745943
581.5,23.6366268934
582,23.6366268934
582.5,23.6380791882
583,23.6380791882
583.5,23.6395314788
584,23.6395314788
584.5,23.6409837652
585,23.6424360473
585.5,23.6424360473
586,23.6482451334
586.5,23.6496973944
587,23.6482451334
587.5,23.6540541519
588,23.6569586359
588.5,23.6584108716
589,23.6613153303
589.5,23.6627675534
590,23.665671987
590.5,23.6714808039
591,23.6729329976
591.5,23.6729329976
592,23.6743851872
592.5,23.6758373726
593,23.6801939039
593.5,23.6816460726
594,23.6816460726
594.5,23.6845503977
595,23.6845503977
595.5,23.6845503977
596,23.6845503977
596.5,23.686002554
597,23.6874547061
597.5,23.6932632733
598,23.6918111377
598.5,23.696167532
599,23.6918111377
599.5,23.6990717743
600,23.7005238892
600.5,23.7048802093
601,23.7048802093
601.5,23.7063323078
602,23.7077844021
602.5,23.7077844021
603,23.7077844021
603.5,23.7077844021
604,23.7077844021
604.5,23.7077844021
605,23.7092364924
605.5,23.7092364924
606,23.7092364924
606.5,23.7121406606
607,23.7106885785
607.5,23.7135927385
608,23.7164968822
